Fiscal Year	||Total Budget(B$) Receipts Outlays Surplus or Deficit	||G.D.P. ||	% of G.D.P. Receipts Outlays Surplus or Deficit||
2008	2,524.0	2,982.5	-458.6	14,743.3	17.1	20.2	-3.1
2009	2,105.0	3,517.7	-1,412.7	14,431.8	14.6	24.4	-9.8
2010	2,162.7	3,457.1	-1,294.4	14,838.9	14.6	23.3	-8.7
2011	2,303.5	3,603.1	-1,299.6	15,403.7	15.0	23.4	-8.4
2012	2,450.0	3,526.6	-1,076.6	16,056.5	15.3	22.0	-6.7
2013	2,775.1	3,454.9	-679.8	16,603.8	16.7	20.8	-4.1
2014	3,021.5	3,506.3	-484.8	17,335.6	17.4	20.2	-2.8
2015	3,249.9	3,691.9	-442.0	18,106.1	17.9	20.4	-2.4
2016	3,268.0	3,852.6	-584.7	18,581.7	17.6	20.7	-3.1
2017	3,316.2	3,981.6	-665.4	19,316.6	17.2	20.6	-3.4
2018	3,329.9	4,109.0	-779.1	20,368.9	16.3	20.2	-3.8
2019	3,463.4	4,447.0	-983.6	21,223.9	16.3	21.0	-4.6
2020	3,421.2	6,550.4	-3,129.2	20,999.7	16.3	31.2	-14.9
